Unnamed: 0,Player,Team(s),Matches,Inns,NO,Runs,HS,100s,50s,Avg,S/R,4s,6s
0,M N	 van Wyk,KKR,5.0,5.0,2.0,167.0,74,0.0,1.0,55.67,126.52,19.0,1.0
1,C	 Green,MIN,16.0,16.0,7.0,452.0,100*,1.0,2.0,50.22,160.28,40.0,22.0
2,D P	 Conway,CSK,23.0,22.0,3.0,924.0,92*,0.0,9.0,48.63,141.28,99.0,30.0
3,K L	 Rahul,"RCB, SUN, KXI, LSG",118.0,109.0,20.0,4163.0,132*,4.0,33.0,46.78,134.42,355.0,168.0
4,Sai Sudharsan,GTI,13.0,13.0,2.0,507.0,96,0.0,4.0,46.09,137.03,47.0,15.0
5,A C	 Voges,RRO,9.0,7.0,3.0,181.0,45*,0.0,0.0,45.25,126.57,15.0,3.0
6,H M	 Amla,KXI,16.0,16.0,3.0,577.0,104*,2.0,3.0,44.38,141.77,60.0,21.0
7,Iqbal Abdulla,"KKR, RRO, RCB",49.0,13.0,11.0,88.0,33*,0.0,0.0,44.0,104.76,9.0,1.0
8,D A	 Warner,"DDV, SUN",176.0,176.0,22.0,6397.0,126,4.0,61.0,41.54,139.92,646.0,226.0
9,P D	 Collingwood,DDV,8.0,7.0,2.0,203.0,75*,0.0,3.0,40.6,130.13,9.0,13.0
10,R M	 Patidar,RCB,12.0,11.0,1.0,404.0,112*,1.0,2.0,40.4,144.29,30.0,21.0
11,L M P	 Simmons,MIN,29.0,29.0,2.0,1079.0,100*,1.0,11.0,39.96,126.64,109.0,44.0
12,S E	 Marsh,KXI,71.0,69.0,7.0,2477.0,115,1.0,20.0,39.95,132.74,266.0,78.0
13,J-P	 Duminy,"MIN, DCH, DDV",83.0,77.0,26.0,2029.0,78*,0.0,14.0,39.78,124.02,126.0,79.0
14,C H	 Gayle,"KKR, RCB, KXI",142.0,141.0,16.0,4965.0,175*,6.0,31.0,39.72,148.96,399.0,355.0
15,A B	 de Villiers,"DDV, RCB",184.0,170.0,40.0,5162.0,133*,3.0,40.0,39.71,151.69,413.0,250.0
16,R D	 Gaikwad,CSK,52.0,51.0,5.0,1797.0,101*,1.0,14.0,39.07,135.52,159.0,73.0
17,Tilak Varma,MIN,25.0,25.0,6.0,740.0,84*,0.0,3.0,38.95,144.53,55.0,39.0
18,M S	 Dhoni,"CSK, RPS",250.0,218.0,87.0,5082.0,84*,0.0,24.0,38.79,135.92,349.0,239.0
19,M E K	 Hussey,"CSK, MIN",59.0,58.0,7.0,1977.0,116*,1.0,15.0,38.76,122.64,198.0,52.0
20,J C	 Buttler,"MIN, RRO",96.0,95.0,10.0,3223.0,124,5.0,19.0,37.92,148.32,319.0,149.0
21,Shubman Gill,"KKR, GTI",91.0,88.0,14.0,2790.0,129,3.0,18.0,37.7,134.07,273.0,80.0
22,V	 Kohli,RCB,237.0,229.0,34.0,7263.0,113,7.0,50.0,37.25,130.02,643.0,234.0
23,K P	 Pietersen,"RCB, DDV, RPS",36.0,36.0,9.0,1001.0,103*,1.0,4.0,37.07,134.72,91.0,40.0
24,F	 du Plessis,"CSK, RPS, RCB",130.0,123.0,11.0,4133.0,96,0.0,33.0,36.9,134.14,374.0,145.0
25,M L	 Hayden,CSK,32.0,32.0,2.0,1107.0,93,0.0,8.0,36.9,137.52,121.0,44.0
26,H	 Klaasen,"RRO, RCB, SUN",19.0,17.0,3.0,514.0,104,1.0,2.0,36.71,165.81,37.0,26.0
27,R K	 Singh,KKR,31.0,29.0,9.0,725.0,67*,0.0,4.0,36.25,142.16,54.0,38.0
28,K S	 Williamson,"SUN, GTI",77.0,75.0,17.0,2101.0,89,0.0,18.0,36.22,126.03,181.0,64.0
29,A	 Symonds,"DCH, MIN",39.0,36.0,9.0,974.0,117*,1.0,5.0,36.07,129.87,74.0,41.0
30,J M	 Bairstow,"SUN, KXI",39.0,39.0,3.0,1291.0,114,1.0,9.0,35.86,142.65,133.0,55.0
31,D A	 Miller,"KXI, RRO, GTI",121.0,115.0,39.0,2714.0,101*,1.0,12.0,35.71,138.4,187.0,126.0
32,S	 Dhawan,"DDV, MIN, DCH, SUN, KXI",217.0,216.0,29.0,6617.0,106*,2.0,50.0,35.39,127.18,750.0,148.0
33,S R	 Tendulkar,MIN,78.0,78.0,11.0,2334.0,100*,1.0,13.0,34.84,119.82,295.0,29.0
34,R R	 Pant,DDV,98.0,97.0,15.0,2838.0,128*,1.0,15.0,34.61,147.97,260.0,129.0
35,S P D	 Smith,"PWI, RRO, RPS, DDV",103.0,93.0,21.0,2485.0,101,1.0,11.0,34.51,128.09,225.0,60.0
36,C A	 Lynn,"DCH, KKR, MIN",42.0,42.0,3.0,1329.0,93*,0.0,10.0,34.08,140.63,132.0,66.0
37,O A	 Shah,"KKR, KTK, RRO",23.0,22.0,7.0,506.0,76,0.0,4.0,33.73,130.08,34.0,23.0
