Unnamed: 0,Player,Team(s),Matches,Inns,NO,Runs,HS,100s,50s,Avg,S/R,4s,6s
0,T H	 David,"RCB, MIN",25.0,24.0,9.0,418.0,46,0.0,0.0,27.87,177.87,24.0,31.0
1,L J	 Wright,PWI,7.0,6.0,1.0,106.0,44,0.0,0.0,21.2,176.67,16.0,3.0
2,A D	 Russell,"DDV, KKR",112.0,96.0,18.0,2262.0,88*,0.0,10.0,29.0,174.0,150.0,193.0
3,D C	 Jurel,RRO,13.0,11.0,4.0,152.0,34*,0.0,0.0,21.71,172.73,11.0,9.0
4,K 	 Cooper,RRO,25.0,14.0,5.0,116.0,32,0.0,0.0,12.89,170.59,9.0,8.0
5,B C J	 Cutting,"RRO, SUN, MIN",21.0,17.0,6.0,238.0,39*,0.0,0.0,21.64,168.79,15.0,19.0
6,K	 Gowtham,"RRO, KXI, LSG",35.0,27.0,9.0,247.0,33*,0.0,0.0,13.72,166.89,15.0,17.0
7,Rashid Khan,"SUN, GTI",109.0,52.0,20.0,443.0,79*,0.0,1.0,13.84,166.54,28.0,35.0
8,H	 Klaasen,"RRO, RCB, SUN",19.0,17.0,3.0,514.0,104,1.0,2.0,36.71,165.81,37.0,26.0
9,L S	 Livingstone,"RRO, KXI",32.0,32.0,4.0,828.0,94,0.0,6.0,29.57,165.6,58.0,59.0
10,Kamran Akmal,RRO,6.0,6.0,1.0,128.0,53*,0.0,1.0,25.6,164.1,13.0,8.0
11,P D	 Salt,DDV,9.0,9.0,1.0,218.0,87,0.0,2.0,27.25,163.91,24.0,10.0
12,C R	 Brathwaite,"DDV, SUN, KKR",16.0,14.0,1.0,181.0,43*,0.0,0.0,13.92,163.06,10.0,16.0
13,C	 Green,MIN,16.0,16.0,7.0,452.0,100*,1.0,2.0,50.22,160.28,40.0,22.0
14,S P	 Narine,KKR,162.0,96.0,20.0,1046.0,75,0.0,4.0,13.76,159.69,114.0,64.0
15,J M	 Sharma,KXI,26.0,24.0,3.0,543.0,49*,0.0,0.0,25.86,159.24,44.0,33.0
16,G J	 Maxwell,"DDV, MIN, KXI, RCB",124.0,120.0,17.0,2719.0,95,0.0,18.0,26.4,157.62,226.0,158.0
17,N	 Pooran,"KXI, SUN, LSG",62.0,59.0,12.0,1270.0,77,0.0,6.0,27.02,156.79,76.0,91.0
18,J C	 Archer,"RRO, MIN",40.0,25.0,12.0,199.0,27*,0.0,0.0,15.31,155.47,11.0,14.0
19,V	 Sehwag,"DDV, KXI",104.0,104.0,5.0,2728.0,122,2.0,16.0,27.56,155.44,334.0,105.0
20,C H	 Morris,"CSK, RRO, DDV, RCB",81.0,51.0,23.0,618.0,82*,0.0,2.0,22.07,155.28,41.0,35.0
21,P J	 Cummins,"KKR, DDV",42.0,31.0,11.0,379.0,66*,0.0,3.0,18.95,152.21,24.0,26.0
