match_id,season,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpire1,umpire2,winner,result,player_of_match,toss_decision,toss_winner,dl_applied,venue,team_a,team_b,target_overs,target_runs,win_by_runs,win_by_wickets
1,IPL-2017,6,Hyderabad,2017-04-05,J Srinath,N Pandit,A Deshmukh,AY Dandekar,NJ Llong,Sunrisers Hyderabad,normal,Yuvraj Singh,field,Royal Challengers Bangalore,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,208,35,0
2,IPL-2017,6,Pune,2017-04-06,M Nayyar,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,Rising Pune Supergiant,normal,SPD Smith,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,20.0,185,0,7
3,IPL-2017,6,Rajkot,2017-04-07,V Narayan Kutty,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Kolkata Knight Riders,normal,CA Lynn,field,Kolkata Knight Riders,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,20.0,184,0,10
4,IPL-2017,6,Indore,2017-04-08,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,Kings XI Punjab,normal,GJ Maxwell,field,Kings XI Punjab,0,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,20.0,164,0,6
5,IPL-2017,6,Bengaluru,2017-04-08,J Srinath,Navdeep Singh,A Nand Kishore,S Ravi,VK Sharma,Royal Challengers Bangalore,normal,KM Jadhav,bat,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,20.0,158,15,0
6,IPL-2017,6,Hyderabad,2017-04-09,M Nayyar,N Pandit,AY Dandekar,A Deshmukh,NJ Llong,Sunrisers Hyderabad,normal,Rashid Khan,field,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,20.0,136,0,9
7,IPL-2017,6,Mumbai,2017-04-09,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Mumbai Indians,normal,N Rana,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,20.0,179,0,4
8,IPL-2017,6,Indore,2017-04-10,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,AK Chaudhary,C Shamshuddin,Kings XI Punjab,normal,AR Patel,bat,Royal Challengers Bangalore,0,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,20.0,149,0,8
9,IPL-2017,6,Pune,2017-04-11,J Srinath,Navdeep Singh,A Nand Kishore,AY Dandekar,S Ravi,Delhi Daredevils,normal,SV Samson,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,20.0,206,97,0
10,IPL-2017,6,Mumbai,2017-04-12,M Nayyar,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Mumbai Indians,normal,JJ Bumrah,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,20.0,159,0,4
11,IPL-2017,6,Kolkata,2017-04-13,AJ Pycroft,N Pandit,AY Dandekar,A Deshmukh,NJ Llong,Kolkata Knight Riders,normal,SP Narine,field,Kolkata Knight Riders,0,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,20.0,171,0,8
12,IPL-2017,6,Bangalore,2017-04-14,Chinmay Sharma,R Pandit,C Shamshuddin,KN Ananthapadmanabhan,AK Chaudhary,Mumbai Indians,normal,KA Pollard,field,Mumbai Indians,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,143,0,4
13,IPL-2017,6,Rajkot,2017-04-14,J Srinath,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,Gujarat Lions,normal,AJ Tye,field,Gujarat Lions,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,20.0,172,0,7
14,IPL-2017,6,Kolkata,2017-04-15,AJ Pycroft,N Pandit,A Deshmukh,AY Dandekar,NJ Llong,Kolkata Knight Riders,normal,RV Uthappa,field,Sunrisers Hyderabad,0,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,20.0,173,17,0
15,IPL-2017,6,Delhi,2017-04-15,S Chaturvedi,K Srinivasan,CK Nandan,YC Barde,Nitin Menon,Delhi Daredevils,normal,CJ Anderson,bat,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,20.0,189,51,0
16,IPL-2017,6,Mumbai,2017-04-16,M Nayyar,Navdeep Singh,VK Sharma,A Nand Kishore,S Ravi,Mumbai Indians,normal,N Rana,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Gujarat Lions,20.0,177,0,6
17,IPL-2017,6,Bangalore,2017-04-16,Chinmay Sharma,R Pandit,AK Chaudhary,KN Ananthapadmanabhan,C Shamshuddin,Rising Pune Supergiant,normal,BA Stokes,field,Royal Challengers Bangalore,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,20.0,162,27,0
18,IPL-2017,6,Delhi,2017-04-17,S Chaturvedi,K Srinivasan,YC Barde,Nitin Menon,CK Nandan,Kolkata Knight Riders,normal,NM Coulter-Nile,bat,Delhi Daredevils,0,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,20.0,169,0,4
19,IPL-2017,6,Hyderabad,2017-04-17,AJ Pycroft,N Pandit,NJ Llong,AY Dandekar,A Deshmukh,Sunrisers Hyderabad,normal,B Kumar,field,Kings XI Punjab,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,20.0,160,5,0
20,IPL-2017,6,Rajkot,2017-04-18,J Srinath,Navdeep Singh,A Nand Kishore,S Ravi,VK Sharma,Royal Challengers Bangalore,normal,CH Gayle,field,Gujarat Lions,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,20.0,214,21,0
21,IPL-2017,6,Hyderabad,2017-04-19,M Nayyar,N Pandit,AY Dandekar,CB Gaffaney,NJ Llong,Sunrisers Hyderabad,normal,KS Williamson,bat,Sunrisers Hyderabad,0,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,20.0,192,15,0
22,IPL-2017,6,Indore,2017-04-20,AJ Pycroft,R Pandit,AK Chaudhary,M Erasmus,C Shamshuddin,Mumbai Indians,normal,JC Buttler,field,Mumbai Indians,0,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,20.0,199,0,8
23,IPL-2017,6,Kolkata,2017-04-21,V Narayan Kutty,K Srinivasan,CK Nandan,CB Gaffaney,Nitin Menon,Gujarat Lions,normal,SK Raina,field,Gujarat Lions,0,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,20.0,188,0,4
24,IPL-2017,6,Mumbai,2017-04-22,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,Mumbai Indians,normal,MJ McClenaghan,field,Delhi Daredevils,0,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,143,14,0
25,IPL-2017,6,Pune,2017-04-22,M Nayyar,N Pandit,NJ Llong,AY Dandekar,A Deshmukh,Rising Pune Supergiant,normal,MS Dhoni,field,Rising Pune Supergiant,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,20.0,177,0,6
26,IPL-2017,6,Rajkot,2017-04-23,Chinmay Sharma,R Pandit,C Shamshuddin,AK Chaudhary,M Erasmus,Kings XI Punjab,normal,HM Amla,field,Gujarat Lions,0,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,20.0,189,26,0
27,IPL-2017,6,Kolkata,2017-04-23,V Narayan Kutty,K Srinivasan,Nitin Menon,CB Gaffaney,CK Nandan,Kolkata Knight Riders,normal,NM Coulter-Nile,field,Royal Challengers Bangalore,0,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,20.0,132,82,0
28,IPL-2017,6,Mumbai,2017-04-24,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,A Nand Kishore,S Ravi,Rising Pune Supergiant,normal,BA Stokes,field,Mumbai Indians,0,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,20.0,161,3,0
29,IPL-2017,6,Pune,2017-04-26,AJ Pycroft,N Pandit,CB Gaffaney,AY Dandekar,NJ Llong,Kolkata Knight Riders,normal,RV Uthappa,field,Kolkata Knight Riders,0,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kolkata Knight Riders,20.0,183,0,7
30,IPL-2017,6,Bangalore,2017-04-27,Chinmay Sharma,R Pandit,M Erasmus,AK Chaudhary,C Shamshuddin,Gujarat Lions,normal,AJ Tye,field,Gujarat Lions,0,M Chinnaswamy Stadium,Royal Challengers Bangalore,Gujarat Lions,20.0,135,0,7
31,IPL-2017,6,Kolkata,2017-04-28,AJ Pycroft,Navdeep Singh,VK Sharma,NJ Llong,S Ravi,Kolkata Knight Riders,normal,G Gambhir,field,Kolkata Knight Riders,0,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,20.0,161,0,7
