Unnamed: 0,balls_per_over,city,dates,match_referees,reserve_umpires,tv_umpires,umpires,winner,player_of_match,toss_decision,toss_winner,venue,team_a,team_b,target_overs,target_runs
0,6,Hyderabad,2017-04-05,J Srinath,N Pandit,A Deshmukh,"AY Dandekar, NJ Llong",Sunrisers Hyderabad,Yuvraj Singh,field,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,20.0,208
1,6,Pune,2017-04-06,M Nayyar,Navdeep Singh,VK Sharma,"A Nand Kishore, S Ravi",Rising Pune Supergiant,SPD Smith,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Mumbai Indians,20.0,185
2,6,Rajkot,2017-04-07,V Narayan Kutty,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Kolkata Knight Riders,CA Lynn,field,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Gujarat Lions,Kolkata Knight Riders,20.0,184
3,6,Indore,2017-04-08,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,"AK Chaudhary, C Shamshuddin",Kings XI Punjab,GJ Maxwell,field,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,Rising Pune Supergiant,20.0,164
4,6,Bengaluru,2017-04-08,J Srinath,Navdeep Singh,A Nand Kishore,"S Ravi, VK Sharma",Royal Challengers Bangalore,KM Jadhav,bat,Royal Challengers Bangalore,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,20.0,158
5,6,Hyderabad,2017-04-09,M Nayyar,N Pandit,AY Dandekar,"A Deshmukh, NJ Llong",Sunrisers Hyderabad,Rashid Khan,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Gujarat Lions,20.0,136
6,6,Mumbai,2017-04-09,S Chaturvedi,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Mumbai Indians,N Rana,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,20.0,179
7,6,Indore,2017-04-10,Chinmay Sharma,R Pandit,KN Ananthapadmanabhan,"AK Chaudhary, C Shamshuddin",Kings XI Punjab,AR Patel,bat,Royal Challengers Bangalore,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,20.0,149
8,6,Pune,2017-04-11,J Srinath,Navdeep Singh,A Nand Kishore,"AY Dandekar, S Ravi",Delhi Daredevils,SV Samson,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Delhi Daredevils,20.0,206
9,6,Mumbai,2017-04-12,M Nayyar,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Mumbai Indians,JJ Bumrah,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,20.0,159
10,6,Kolkata,2017-04-13,AJ Pycroft,N Pandit,AY Dandekar,"A Deshmukh, NJ Llong",Kolkata Knight Riders,SP Narine,field,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,20.0,171
11,6,Bangalore,2017-04-14,Chinmay Sharma,R Pandit,C Shamshuddin,"KN Ananthapadmanabhan, AK Chaudhary",Mumbai Indians,KA Pollard,field,Mumbai Indians,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,20.0,143
12,6,Rajkot,2017-04-14,J Srinath,Navdeep Singh,VK Sharma,"A Nand Kishore, S Ravi",Gujarat Lions,AJ Tye,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Rising Pune Supergiant,20.0,172
13,6,Kolkata,2017-04-15,AJ Pycroft,N Pandit,A Deshmukh,"AY Dandekar, NJ Llong",Kolkata Knight Riders,RV Uthappa,field,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,20.0,173
14,6,Delhi,2017-04-15,S Chaturvedi,K Srinivasan,CK Nandan,"YC Barde, Nitin Menon",Delhi Daredevils,CJ Anderson,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,20.0,189
15,6,Mumbai,2017-04-16,M Nayyar,Navdeep Singh,VK Sharma,"A Nand Kishore, S Ravi",Mumbai Indians,N Rana,field,Mumbai Indians,Wankhede Stadium,Mumbai Indians,Gujarat Lions,20.0,177
16,6,Bangalore,2017-04-16,Chinmay Sharma,R Pandit,AK Chaudhary,"KN Ananthapadmanabhan, C Shamshuddin",Rising Pune Supergiant,BA Stokes,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rising Pune Supergiant,20.0,162
17,6,Delhi,2017-04-17,S Chaturvedi,K Srinivasan,YC Barde,"Nitin Menon, CK Nandan",Kolkata Knight Riders,NM Coulter-Nile,bat,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,20.0,169
18,6,Hyderabad,2017-04-17,AJ Pycroft,N Pandit,NJ Llong,"AY Dandekar, A Deshmukh",Sunrisers Hyderabad,B Kumar,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,20.0,160
19,6,Rajkot,2017-04-18,J Srinath,Navdeep Singh,A Nand Kishore,"S Ravi, VK Sharma",Royal Challengers Bangalore,CH Gayle,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Royal Challengers Bangalore,20.0,214
20,6,Hyderabad,2017-04-19,M Nayyar,N Pandit,AY Dandekar,"CB Gaffaney, NJ Llong",Sunrisers Hyderabad,KS Williamson,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,20.0,192
21,6,Indore,2017-04-20,AJ Pycroft,R Pandit,AK Chaudhary,"M Erasmus, C Shamshuddin",Mumbai Indians,JC Buttler,field,Mumbai Indians,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,20.0,199
22,6,Kolkata,2017-04-21,V Narayan Kutty,K Srinivasan,CK Nandan,"CB Gaffaney, Nitin Menon",Gujarat Lions,SK Raina,field,Gujarat Lions,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,20.0,188
23,6,Mumbai,2017-04-22,J Srinath,Navdeep Singh,KN Ananthapadmanabhan,"A Nand Kishore, S Ravi",Mumbai Indians,MJ McClenaghan,field,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,20.0,143
24,6,Pune,2017-04-22,M Nayyar,N Pandit,NJ Llong,"AY Dandekar, A Deshmukh",Rising Pune Supergiant,MS Dhoni,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Sunrisers Hyderabad,20.0,177
25,6,Rajkot,2017-04-23,Chinmay Sharma,R Pandit,C Shamshuddin,"AK Chaudhary, M Erasmus",Kings XI Punjab,HM Amla,field,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,20.0,189
26,6,Kolkata,2017-04-23,V Narayan Kutty,K Srinivasan,Nitin Menon,"CB Gaffaney, CK Nandan",Kolkata Knight Riders,NM Coulter-Nile,field,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,20.0,132
