Unnamed: 0,Player,Team(s),Mat,Overs,Mdns,Runs,Wkts,Avg,Best,E/R,S/R,4w
0,A Kumble,RCB,42.0,160.5,1.0,1058.0,45.0,23.51,5/5,6.58,21.44,3.0
1,G D McGrath,DDV,14.0,54.0,2.0,357.0,12.0,29.75,4/29,6.61,27.0,1.0
2,M Muralitharan,"CSK, KTK, RCB",66.0,254.0,1.0,1685.0,63.0,26.75,3/11,6.63,24.19,0.0
3,Rashid Khan,"SUN, GTI",109.0,432.5,4.0,2885.0,139.0,20.76,4/24,6.67,18.68,2.0
4,S P Narine,KKR,162.0,624.1,3.0,4203.0,163.0,25.79,5/19,6.73,22.98,8.0
5,R E van der Merwe,"RCB, DDV",21.0,73.5,1.0,498.0,21.0,23.71,3/20,6.74,21.1,0.0
6,D L Vettori,"DDV, RCB",34.0,129.3,0.0,878.0,28.0,31.36,3/15,6.78,27.75,0.0
7,J Yadav,"DDV, MIN, GTI",20.0,65.0,0.0,445.0,8.0,55.63,1/8,6.85,48.75,0.0
8,M J Santner,CSK,15.0,52.0,0.0,358.0,13.0,27.54,2/13,6.88,24.0,0.0
9,D W Steyn,"RCB, DCH, SUN, GUJ",95.0,362.4,7.0,2508.0,97.0,25.86,3/8,6.92,22.43,0.0
10,J Botha,"RRO, DDV, KKR",34.0,115.4,0.0,800.0,25.0,32.0,3/6,6.92,27.76,0.0
11,A D Mascarenhas,"RRO, KXI",13.0,51.2,1.0,356.0,19.0,18.74,5/25,6.94,16.21,1.0
12,M M Ali,"RCB, CSK",59.0,118.2,0.0,822.0,33.0,24.91,4/26,6.95,21.52,1.0
13,R Ashwin,"CSK, RPS, KXI, DDV, RRO",197.0,699.0,6.0,4902.0,171.0,28.67,4/34,7.01,24.53,1.0
14,R Sharma,"DCH, PWI, DDV",44.0,154.4,1.0,1086.0,40.0,27.15,3/13,7.02,23.2,0.0
15,Harbhajan Singh,"MIN, CSK, KKR",163.0,569.2,6.0,4046.0,150.0,26.97,5/18,7.11,22.77,2.0
16,Mohammad Nabi,SUN,17.0,57.1,0.0,408.0,13.0,31.38,4/11,7.14,26.38,1.0
17,S L Malinga,MIN,122.0,471.1,8.0,3374.0,170.0,19.85,5/13,7.16,16.63,7.0
18,M A Starc,RCB,27.0,96.4,1.0,693.0,34.0,20.38,4/15,7.17,17.06,1.0
19,D E Bollinger,CSK,27.0,96.0,3.0,693.0,37.0,18.73,4/13,7.22,15.57,1.0
20,Iqbal Abdulla,"KKR, RRO, RCB",49.0,153.2,1.0,1109.0,40.0,27.73,3/24,7.23,23.0,0.0
21,A R Patel,"KXI, DDV",136.0,472.3,2.0,3421.0,112.0,30.54,4/21,7.24,25.31,1.0
22,M Kartik,"KKR, PWI, RCB, KXI",56.0,191.4,1.0,1388.0,31.0,44.77,3/17,7.24,37.1,0.0
23,Ankit Sharma,"DCH, SUN, RRO, RPS",21.0,58.1,0.0,422.0,11.0,38.36,2/20,7.26,31.73,0.0
24,S K Warne,RRO,55.0,199.0,1.0,1447.0,57.0,25.39,4/21,7.27,20.95,1.0
25,R Bhatia,"DDV, KKR, RRO, RPS",95.0,275.4,1.0,2021.0,71.0,28.46,4/15,7.33,23.3,1.0
26,K H Pandya,"MIN, LSG",113.0,320.4,1.0,2351.0,70.0,33.59,3/14,7.33,27.49,0.0
