Unnamed: 0,Player,Team(s),Matches,Inns,NO,Runs,HS,100s,50s,Avg,S/R,4s,6s
0,V	 Kohli,RCB,237.0,229.0,34.0,7263.0,113,7.0,50.0,37.25,130.02,643.0,234.0
1,S	 Dhawan,"DDV, MIN, DCH, SUN, KXI",217.0,216.0,29.0,6617.0,106*,2.0,50.0,35.39,127.18,750.0,148.0
2,D A	 Warner,"DDV, SUN",176.0,176.0,22.0,6397.0,126,4.0,61.0,41.54,139.92,646.0,226.0
3,R G	 Sharma,"DCH, MIN",243.0,238.0,28.0,6211.0,109*,1.0,42.0,29.58,130.05,554.0,257.0
4,S K	 Raina,"CSK, GUJ",205.0,200.0,30.0,5528.0,100*,1.0,39.0,32.52,136.76,506.0,203.0
5,A B	 de Villiers,"DDV, RCB",184.0,170.0,40.0,5162.0,133*,3.0,40.0,39.71,151.69,413.0,250.0
6,M S	 Dhoni,"CSK, RPS",250.0,218.0,87.0,5082.0,84*,0.0,24.0,38.79,135.92,349.0,239.0
7,C H	 Gayle,"KKR, RCB, KXI",142.0,141.0,16.0,4965.0,175*,6.0,31.0,39.72,148.96,399.0,355.0
8,R V	 Uthappa,"MIN, RCB, PWI, KKR, RRO, CSK",205.0,197.0,17.0,4952.0,88,0.0,27.0,27.51,130.35,475.0,180.0
9,K D	 Karthik,"DDV, KXI, MIN, RCB, GUJ, KKR",242.0,221.0,46.0,4516.0,97*,0.0,20.0,25.81,132.71,439.0,139.0
10,A M	 Rahane,"MIN, RRO, RPS, DDV, KKR, CSK",172.0,159.0,17.0,4400.0,105*,2.0,30.0,30.99,123.42,455.0,94.0
11,A T	 Rayudu,"MIN, CSK",204.0,187.0,33.0,4348.0,100*,1.0,22.0,28.23,127.54,359.0,173.0
12,G	 Gambhir,"DDV, KKR",154.0,152.0,16.0,4217.0,93,0.0,36.0,31.01,123.88,492.0,59.0
13,K L	 Rahul,"RCB, SUN, KXI, LSG",118.0,109.0,20.0,4163.0,132*,4.0,33.0,46.78,134.42,355.0,168.0
14,F	 du Plessis,"CSK, RPS, RCB",130.0,123.0,11.0,4133.0,96,0.0,33.0,36.9,134.14,374.0,145.0
15,S V	 Samson,"RRO, DDV",152.0,148.0,15.0,3888.0,119,3.0,20.0,29.23,137.19,304.0,182.0
16,S R	 Watson,"RRO, RCB, CSK",145.0,141.0,16.0,3874.0,117*,4.0,21.0,30.99,137.91,374.0,190.0
17,M K	 Pandey,"MIN, RCB, PWI, KKR, SUN, LSG, DDV",170.0,158.0,27.0,3808.0,114*,1.0,22.0,29.07,120.97,333.0,108.0
18,K A	 Pollard,MIN,189.0,171.0,52.0,3412.0,87*,0.0,16.0,28.67,147.32,217.0,222.0
19,S A	 Yadav,"MIN, KKR",139.0,124.0,22.0,3249.0,103*,1.0,21.0,31.85,143.32,349.0,112.0
20,J C	 Buttler,"MIN, RRO",96.0,95.0,10.0,3223.0,124,5.0,19.0,37.92,148.32,319.0,149.0
21,Y K	 Pathan,"RRO, KKR, SUN",174.0,154.0,44.0,3204.0,100,1.0,13.0,29.13,142.97,262.0,158.0
22,Q	 de Kock,"SUN, DDV, RCB, MIN, LSG",96.0,96.0,6.0,2907.0,140*,2.0,20.0,32.3,134.21,287.0,114.0
23,B B	 McCullum,"KKR, KTK, CSK, GUJ, RCB",109.0,109.0,5.0,2880.0,158*,2.0,13.0,27.69,131.75,293.0,130.0
24,P A	 Patel,"CSK, KTK, DCH, SUN, RCB, MIN",139.0,137.0,11.0,2848.0,81,0.0,13.0,22.6,120.78,365.0,49.0
