Unnamed: 0,Player,Team(s),Mat,Overs,Mdns,Runs,Wkts,Avg,Best,E/R,S/R,4w
0,Y S Chahal,"MIN, RCB, RRO",145.0,528.5,4.0,4056.0,187.0,21.69,5/40,7.67,16.97,7.0
1,D J J Bravo,"MIN, CSK, GUJ",161.0,519.5,3.0,4360.0,183.0,23.83,4/22,8.39,17.04,2.0
2,P P Chawla,"KXI, KKR, CSK, MIN",181.0,606.4,2.0,4796.0,179.0,26.79,4/17,7.91,20.34,2.0
3,A Mishra,"DDV, DCH, SUN, LSG",161.0,559.5,6.0,4129.0,173.0,23.87,5/17,7.38,19.42,5.0
4,R Ashwin,"CSK, RPS, KXI, DDV, RRO",197.0,699.0,6.0,4902.0,171.0,28.67,4/34,7.01,24.53,1.0
5,S L Malinga,MIN,122.0,471.1,8.0,3374.0,170.0,19.85,5/13,7.16,16.63,7.0
6,B Kumar,"PWI, SUN",160.0,594.4,11.0,4396.0,170.0,25.86,5/19,7.39,20.99,4.0
7,S P Narine,KKR,162.0,624.1,3.0,4203.0,163.0,25.79,5/19,6.73,22.98,8.0
8,R A Jadeja,"RRO, KTK, CSK, GUJ",226.0,591.1,2.0,4495.0,152.0,29.57,5/16,7.6,23.34,4.0
9,Harbhajan Singh,"MIN, CSK, KKR",163.0,569.2,6.0,4046.0,150.0,26.97,5/18,7.11,22.77,2.0
10,J J Bumrah,MIN,120.0,457.0,7.0,3380.0,145.0,23.31,5/10,7.4,18.91,3.0
11,Rashid Khan,"SUN, GTI",109.0,432.5,4.0,2885.0,139.0,20.76,4/24,6.67,18.68,2.0
12,U T Yadav,"DDV, KKR, RCB",141.0,484.2,5.0,4086.0,136.0,30.04,4/23,8.44,21.37,3.0
13,Mohammed Shami,"KKR, DDV, KXI, GTI",110.0,404.2,3.0,3412.0,127.0,26.87,4/11,8.44,19.1,2.0
14,Sandeep Sharma,"KXI, SUN, RRO",116.0,432.2,8.0,3398.0,124.0,27.4,4/20,7.86,20.92,2.0
15,M M Sharma,"CSK, KXI, DDV, GTI",100.0,336.3,0.0,2831.0,119.0,23.79,5/10,8.41,16.97,4.0
16,A R Patel,"KXI, DDV",136.0,472.3,2.0,3421.0,112.0,30.54,4/21,7.24,25.31,1.0
17,H V Patel,"RCB, DDV",92.0,311.1,2.0,2672.0,111.0,24.07,5/27,8.59,16.82,3.0
18,A Nehra,"MIN, DDV, PWI, CSK, SUN",88.0,318.0,2.0,2481.0,106.0,23.41,4/10,7.8,18.0,1.0
19,K Rabada,"DDV, KXI",69.0,261.0,2.0,2198.0,106.0,20.74,4/21,8.42,14.77,6.0
20,R Vinay Kumar,"RCB, KTK, KKR, MIN",105.0,353.3,1.0,2966.0,105.0,28.25,4/40,8.39,20.2,1.0
21,T A Boult,"SUN, KKR, DDV, MIN, RRO",88.0,336.1,11.0,2787.0,105.0,26.54,4/18,8.29,19.21,1.0
22,Z Khan,"RCB, MIN, DDV",100.0,366.4,5.0,2782.0,102.0,27.27,4/17,7.59,21.57,1.0
23,D W Steyn,"RCB, DCH, SUN, GUJ",95.0,362.4,7.0,2508.0,97.0,25.86,3/8,6.92,22.43,0.0
24,A D Russell,"DDV, KKR",112.0,253.3,0.0,2351.0,96.0,24.49,5/15,9.27,15.84,3.0
25,C H Morris,"CSK, RRO, DDV, RCB",81.0,286.4,1.0,2295.0,95.0,24.16,4/23,8.01,18.11,4.0
26,S R Watson,"RRO, RCB, CSK",145.0,338.1,3.0,2682.0,92.0,29.15,4/29,7.93,22.05,1.0
27,J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG",94.0,325.0,3.0,2872.0,91.0,31.56,5/25,8.84,21.43,2.0
28,R P Singh,"DCH, KTK, MIN, RCB, RPS",82.0,295.5,2.0,2338.0,90.0,25.98,4/22,7.9,19.72,2.0
29,P Kumar,"RCB, KXI, MIN, SUN, GUJ",119.0,420.4,14.0,3251.0,90.0,36.12,3/18,7.73,28.04,0.0
30,P P Ojha,"DCH, MIN",92.0,316.3,1.0,2332.0,89.0,26.2,3/11,7.37,21.34,0.0
31,S N Thakur,"KXI, RPS, CSK, DDV, KKR",86.0,279.2,3.0,2560.0,89.0,28.76,4/36,9.16,18.83,1.0
32,D S Kulkarni,"MIN, RRO, GUJ",92.0,297.5,8.0,2474.0,86.0,28.77,4/14,8.31,20.78,1.0
33,J A Morkel,"CSK, RCB, DDV, RPS",91.0,287.1,3.0,2359.0,85.0,27.75,4/32,8.21,20.27,1.0
34,I Sharma,"KKR, DCH, SUN, RPS, KXI, DDV",101.0,357.5,6.0,2911.0,82.0,35.5,5/12,8.14,26.18,1.0
35,Imran Tahir,"DDV, RPS, CSK",59.0,219.2,1.0,1703.0,82.0,20.77,4/12,7.76,16.05,3.0
36,I K Pathan,"KXI, DDV, SUN, RPS, GUJ",103.0,340.3,11.0,2649.0,80.0,33.11,3/24,7.78,25.54,0.0
37,Mohammed Siraj,"SUN, RCB",79.0,272.2,4.0,2326.0,78.0,29.82,4/21,8.54,20.95,2.0
38,M Morkel,"RRO, DDV, KKR",70.0,271.3,3.0,2089.0,77.0,27.13,4/20,7.69,21.16,1.0
