Unnamed: 0,Name,Team(s),Matches,Runs,Bat Avg,Wickets,Bowl Avg
0,V R Aaron,"DDV, RCB, KXI, RRO, GTI",52,50,10.0,44,33.66
1,K J Abbott,KXI,5,13,13.0,2,88.5
2,S A Abbott,"RCB, SUN",3,22,7.33,1,104.0
3,Abdul Samad,SUN,34,395,19.75,2,56.5
4,Y A Abdulla,KXI,11,0,,15,20.47
5,Abdur Razzak,RCB,1,0,,0,
6,Abhishek Sharma,"DDV, SUN",47,893,22.9,9,37.56
7,L Ablish,KXI,3,0,,3,25.0
8,A B Agarkar,"KKR, DDV",42,179,17.9,29,39.69
9,M A Agarwal,"RCB, DDV, RPS, KXI, SUN",123,2597,22.98,0,
10,S Agarwal,GUJ,1,0,,1,42.0
11,A N  Ahmed,"MIN, RCB",17,36,36.0,12,40.75
12,K K Ahmed,"SUN, DDV",43,1,0.2,57,24.6
13,Akash Deep,RCB,7,17,8.5,6,44.0
14,Akash Singh,"RRO, CSK",7,0,,5,45.4
15,B  Akhil,"RCB, KTK",15,76,12.67,6,40.33
16,M M Ali,"RCB, CSK",59,1034,22.48,33,24.91
17,F A Allen,"KXI, MIN",5,14,7.0,2,68.0
18,Aman Hakim Khan,"KKR, DDV",12,115,12.78,0,
19,P Amarnath,CSK,6,0,,7,33.71
20,H M Amla,KXI,16,577,44.38,0,
21,Anand Rajan,"DCH, SUN",9,15,15.0,9,25.44
22,C J Anderson,"MIN, DDV, RCB",30,538,24.45,11,47.09
23,Anirudh Singh,DCH,5,63,15.75,0,
24,S  Anirudha,"CSK, SUN",20,136,17.0,0,
25,Ankit Sharma,"DCH, SUN, RRO, RPS",21,72,12.0,11,38.36
26,Ankit Soni,GUJ,7,7,3.5,2,58.5
27,Anmolpreet Singh,"MIN, SUN",7,134,19.14,0,
28,Anuj Rawat,"RRO, RCB",19,220,18.33,0,
29,Anureet Singh,"KKR, KXI, RRO",23,36,9.0,18,34.61
30,K P  Appanna,RCB,14,2,2.0,9,31.78
31,S Aravind,RCB,38,59,14.75,45,23.09
32,J C Archer,"RRO, MIN",40,199,15.31,48,24.4
33,V G Arora,"KXI, KKR",10,8,4.0,8,38.75
34,Arshdeep Singh,KXI,51,25,6.25,57,27.14
35,K B A Arun Karthik,"CSK, RCB",17,51,10.2,0,
36,J  Arunkumar,RCB,3,23,7.67,0,
37,A Ashish Reddy,"DCH, SUN",31,280,18.67,18,22.0
38,M Ashwin,"RPS, RCB, KXI, MIN, RRO",44,35,3.89,35,33.2
39,R Ashwin,"CSK, RPS, KXI, DDV, RRO",197,714,13.22,171,28.67
40,K M Asif,"CSK, RRO",7,0,0.0,7,33.0
41,S A  Asnodkar,RRO,20,423,21.15,0,
42,Avesh Khan,"RCB, DDV, LSG",47,31,15.5,55,26.33
43,P Awana,KXI,33,5,2.5,39,26.38
44,Azhar Mahmood,"KXI, KKR",23,388,20.42,29,24.14
45,A Badoni,LSG,28,399,22.17,2,5.5
46,S Badree,"RRO, CSK, RCB",12,13,2.6,11,29.0
47,S Badrinath,CSK,95,1441,30.66,0,
48,G J Bailey,"CSK, KXI, RPS",40,663,24.56,0,
49,J M Bairstow,"SUN, KXI",39,1291,35.86,0,
50,L Balaji,"CSK, KKR, KXI",73,36,4.5,76,26.68
51,S B Bangar,"DCH, KKR",12,49,7.0,4,54.75
52,T Banton,KKR,2,18,9.0,0,
53,A B Barath,KXI,3,42,21.0,0,
